date,trends predictor,unemployment
2004-01,1185.26625,1327.7
2004-02,1127.9989655173,1305.6
2004-03,1118.6927419355,1319.8
2004-04,1214.1421666667,1268.1
2004-05,1118.3938709678,1266.9
2004-06,1248.7315,1172.7
2004-07,1294.4288709678,1277.3
2004-08,1227.1829032258,1310.3
2004-09,1196.8475,1108.4
2004-10,1099.565,1110.4
2004-11,1091.5353333333,1173.1
2004-12,1097.4729032258,1144.5
2005-01,1157.2470967742,1264
2005-02,1154.1623214286,1261.5
2005-03,1104.3469354839,1250
2005-04,1160.714,1198.7
2005-05,1109.7266129032,1214.1
2005-06,1180.4793333333,1108
2005-07,1278.8875806452,1225.8
2005-08,1139.3148387097,1267.2
2005-09,1200.5535,1082
2005-10,1211.3427419355,1060
2005-11,1207.3478333333,1036.5
2005-12,1231.3670967742,1055.8
2006-01,1343.1448387097,1225.2
2006-02,1264.6805357143,1153.6
2006-03,1217.0212903226,1162.1
2006-04,1258.923,1133.9
2006-05,1295.6243548387,1093.6
2006-06,1304.9391666667,1006.8
2006-07,1348.2256451613,1206.7
2006-08,1400.8269354839,1233.7
2006-09,1306.7921666667,1043.1
2006-10,1273.5079032258,977.9
2006-11,1295.983,1040.9
2006-12,1282.1751612903,996.9
2007-01,1373.9285483871,1176
2007-02,1242.8416071429,1133.1
2007-03,1234.9535483871,1150.8
2007-04,1204.2595,1119.9
2007-05,1173.3861290323,1095.4
2007-06,1208.2743333333,1018.2
2007-07,1327.6035483871,1134.6
2007-08,1235.2524193548,1165.7
2007-09,1199.9358333333,975.9
2007-10,1150.3730645161,948.4
2007-11,1154.5373333333,1014.1
2007-12,1217.0212903226,994.8
2008-01,1317.1430645161,1125.5
2008-02,1275.9194827586,1102.3
2008-03,1218.814516129,1157.1
2008-04,1226.8043333333,1120.7
2008-05,1219.1133870968,1140
2008-06,1278.0706666667,1038.1
2008-07,1309.3724193548,1163.3
2008-08,1253.4835483871,1195.9
2008-09,1207.039,1013.2
2008-10,1182.0533870968,1019.1
2008-11,1289.1886666667,1122.8
2008-12,1353.9041935484,1148.2
2009-01,1578.9540322581,1415.7
2009-02,1528.07125,1495.9
2009-03,1497.0633870968,1591.3
2009-04,1480.6653333333,1574.1
2009-05,1434.5993548387,1637.8
2009-06,1477.2681666667,1519.3
2009-07,1429.8174193548,1668.4
2009-08,1402.9190322581,1690.6
2009-09,1376.5885,1395
2009-10,1247.805,1393.7
2009-11,1304.0126666667,1461.2
2009-12,1327.0058064516,1430.8
2010-01,1459.704516129,1589.2
2010-02,1356.3378571429,1557.1
2010-03,1330.8911290323,1615
2010-04,1333.9695,1557.3
2010-05,1295.0266129032,1564.9
2010-06,1315.1306666667,1408.2
2010-07,1353.9041935484,1568.8
2010-08,1295.6243548387,1661.4
2010-09,1245.952,1380.5
2010-10,1194.0082258065,1326
2010-11,1192.8326666667,1309.1
2010-12,1266.0361290323,1298
2011-01,1443.2666129032,1495.5
2011-02,1397.0376785714,1471.5
2011-03,1331.7877419355,1514.9
2011-04,1307.101,1479.1
2011-05,1300.7051612903,1427.1
2011-06,1273.4381666667,1342.4
2011-07,1435.1970967742,1443.9
2011-08,1313.5566129032,1500.8
2011-09,1293.2035,1257.7
2011-10,1247.5061290323,1264.1
2011-11,1267.8791666667,1308.9
2011-12,1324.6148387097,1276.5
2012-01,1502.7419354839,1478
2012-02,1337.2601724138,1429.7
2012-03,1285.7616129032,1440.4
2012-04,1208.5831666667,1401.1
2012-05,1293.8311290323,1433.2
2012-06,1252.4375,1293.5
2012-07,1294.7277419355,1431.8
2012-08,1279.1864516129,1487.8
2012-09,1211.6715,1250.6
2012-10,1172.7883870968,1280.1
2012-11,1209.8185,1273.2
2012-12,1249.2993548387,1259.3
2013-01,1417.2648387097,1402.1
2013-02,1336.8151785714,1380
2013-03,1339.5583870968,1455.9
2013-04,1300.9243333333,1392.7
2013-05,1271.4158064516,1378.5
2013-06,1290.424,1300.9
2013-07,1346.4324193548,1432.7
2013-08,1279.1864516129,1485.1
2013-09,1249.9668333333,1214.4
2013-10,1255.874516129,1220.1
2013-11,1274.0558333333,1224.8
2013-12,1299.8085483871,1272.5
2014-01,1405.0111290323,1396.6
2014-02,1364.9410714286,1397
2014-03,1372.4341935484,1404.2
2014-04,1337.3666666667,1381.6
2014-05,1309.3724193548,1389.6
2014-06,1310.807,1305
2014-07,1391.2630645161,1424.4
2014-08,1377.2161290323,1459.3
2014-09,1330.2635,1197.8
2014-10,1251.6903225807,1151.4
2014-11,1286.1003333333,1183.1
2014-12,1329.6956451613,1177.4
2015-01,1495.8679032258,1312.6
2015-02,1493.3275,1363.5
2015-03,1471.6593548387,1406.7
2015-04,1428.4725,1360.8
