Trudeau	May	Mulcair	Harper
150.947974	152.162511	134.714123	148.45906
151.661067	151.81806	135.279551	145.979823
151.748683	150.246364	134.908668	135.855696
153.049048	149.088087	197.698866	137.37398
153.570863	146.028219	183.526389	139.335732
154.254914	139.621508	182.217416	137.645338
155.177305	141.282124	182.061738	136.098619
156.395006	141.152963	181.379226	136.403554
157.582191	144.863844	182.440225	135.565171
157.408357	258.626505	183.306441	134.416338
157.348666	260.332383	183.734385	134.663331
155.925158	260.368076	183.574915	133.344043
153.608709	261.6434	183.203996	132.486394
152.142289	262.290294	182.512279	131.53836
150.419445	261.947984	181.384285	130.112378
146.901701	262.411653	180.418187	128.777688
147.362196	262.824458	179.412314	127.521869
149.989254	262.976501	178.388675	125.61069
149.068328	262.524431	177.207715	124.243961
149.273403	261.099908	175.45407	122.96839
149.226113	252.216624	172.698271	121.302819
148.874786	248.74091	165.190478	118.41557
148.264401	250.875202	158.816869	116.391749
148.526461	254.744585	156.030113	114.583323
147.906493	257.629856	154.037714	112.388455
147.266341	258.93266	153.888153	111.247511
147.057144	259.232981	154.93343	108.727277
147.123236	259.340642	156.499662	107.789371
147.034751	258.63731	159.059098	105.9984
147.064252	257.244641	162.261017	105.75152
147.183769	256.623777	163.629685	105.381656
147.34753	256.223893	163.871244	105.18293
147.0039	254.881431	163.003925	104.867152
147.098634	254.012346	162.129963	104.859893
147.12261	252.840633	160.544946	104.6818
147.014032	251.877941	158.146182	104.805678
147.126768	250.500452	156.199112	105.14964
146.732694	249.282335	155.068234	104.989507
146.476906	248.220595	151.09726	106.904732
146.13499	247.249475	145.779123	107.091433
146.496875	245.815	143.222887	107.365289
146.767072	245.319372	143.399405	107.759401
146.768818	244.567873	142.892443	108.193985
146.477589	243.888702	140.941281	108.693154
146.024473	243.154678	136.609447	108.818904
145.523754	243.875256	132.070861	111.397902
145.082786	245.623945	126.956026	110.965845
143.986276	246.008283	121.983352	110.560276
142.393892	245.082789	117.430969	77.261242
141.751582	243.572657	117.208348	78.648544
